[2026-05-08 15:19:51.164097] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:19:52.598869] Trouvés pour TCE: 12607
[2026-05-08 15:19:57.066052] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:19:58.382866] Trouvés pour TCE: 12607
[2026-05-08 15:20:06.471625] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:20:07.482306] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:20:07.760502] Trouvés pour TCE: 12607
[2026-05-08 15:20:08.772289] Trouvés pour TCE: 12607
[2026-05-08 15:20:17.082652] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:20:17.943159] Trouvés pour TCE: 12607
[2026-05-08 15:20:27.073888] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:20:27.359920] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:20:29.272119] Trouvés pour TCE: 12607
[2026-05-08 15:20:30.495775] Trouvés pour TCE: 12607
[2026-05-08 15:20:37.065953] Host: 127.0.0.1, DB: marsa_maroc_db
[2026-05-08 15:20:37.893705] Trouvés pour TCE: 12607
[2026-05-08 15:21:41.461562] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:21:41.573060] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:21:42.095171] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:21:42.873322] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:21:44.236957] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:21:44.485968] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:21:45.515685] REEL: Term=TCE, Zone=None, Trouves=12607, TotalDB=13249
[2026-05-08 15:21:46.603964] REEL: Term=TCE, Zone=None, Trouves=12607, TotalDB=13249
[2026-05-08 15:21:47.172483] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:21:57.210754] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:22:05.457434] REEL: Term=TCE, Zone=None, Trouves=12607, TotalDB=13249
[2026-05-08 15:22:07.159749] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:22:17.146611] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:22:27.173756] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:22:29.149455] REEL: Term=TCE, Zone=None, Trouves=12607, TotalDB=13249
[2026-05-08 15:22:37.437556] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:22:47.216762] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:22:57.175050] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:23:07.244153] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
[2026-05-08 15:23:17.173264] REEL: Term=TC3, Zone=None, Trouves=642, TotalDB=13249
